2019/04/01 23:11:18 nsqlookupd v0.2.16
2019/04/01 23:11:18 HTTP: listening on [::]:4161
2019/04/01 23:11:18 TCP: listening on [::]:4160
2019/04/01 23:11:18 TCP: new client(192.168.1.189:45630)
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630): desired protocol 538990129
2019/04/01 23:11:18 CLIENT(192.168.1.189:45630) registered TCP:4150 HTTP:4151 address:osa189
2019/04/01 23:11:33 DB: adding topic(test)
2019/04/01 23:11:33 DB: adding channel(test) in topic(test)
2019/04/01 23:11:33 DB: adding topic(test)
2019/04/01 23:11:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000724846s)
2019/04/01 23:11:40 DB: client(192.168.1.189:45630) added registration for topic:test
2019/04/01 23:11:40 DB: client(192.168.1.189:45630) added registration for channel:test in topic:test
2019/04/01 23:11:40 DB: client(192.168.1.189:45630) added registration for topic:test
2019/04/01 23:11:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999969422s)
2019/04/01 23:12:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999883735s)
2019/04/01 23:12:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000115272s)
2019/04/01 23:12:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999947635s)
2019/04/01 23:12:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000110413s)
2019/04/01 23:13:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000140463s)
2019/04/01 23:13:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999742619s)
2019/04/01 23:13:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000243346s)
2019/04/01 23:13:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999730819s)
2019/04/01 23:14:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999995308s)
2019/04/01 23:14:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000012015s)
2019/04/01 23:14:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.99989123s)
2019/04/01 23:14:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000153067s)
2019/04/01 23:15:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000151319s)
2019/04/01 23:15:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999853392s)
2019/04/01 23:15:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000023166s)
2019/04/01 23:15:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000116978s)
2019/04/01 23:16:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000019349s)
2019/04/01 23:16:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999824678s)
2019/04/01 23:16:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000034253s)
2019/04/01 23:16:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000137629s)
2019/04/01 23:17:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999794067s)
2019/04/01 23:17:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000112532s)
2019/04/01 23:17:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999924986s)
2019/04/01 23:17:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000080912s)
2019/04/01 23:18:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000145251s)
2019/04/01 23:18:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999927447s)
2019/04/01 23:18:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999829704s)
2019/04/01 23:18:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.9999794s)
2019/04/01 23:19:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.00005157s)
2019/04/01 23:19:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999900405s)
2019/04/01 23:19:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000043996s)
2019/04/01 23:19:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000021143s)
2019/04/01 23:20:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000128168s)
2019/04/01 23:20:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999983776s)
2019/04/01 23:20:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999903449s)
2019/04/01 23:20:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000223511s)
2019/04/01 23:21:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999736274s)
2019/04/01 23:21:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000003399s)
2019/04/01 23:21:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000032735s)
2019/04/01 23:21:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000237884s)
2019/04/01 23:22:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999729245s)
2019/04/01 23:22:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000051713s)
2019/04/01 23:22:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999969177s)
2019/04/01 23:22:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000150037s)
2019/04/01 23:23:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999913457s)
2019/04/01 23:23:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000050311s)
2019/04/01 23:23:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999909958s)
2019/04/01 23:23:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000034368s)
2019/04/01 23:24:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999989016s)
2019/04/01 23:24:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999998431s)
2019/04/01 23:24:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999918649s)
2019/04/01 23:24:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999962266s)
2019/04/01 23:25:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000057819s)
2019/04/01 23:25:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.99995606s)
2019/04/01 23:25:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000141892s)
2019/04/01 23:25:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999991114s)
2019/04/01 23:26:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999917167s)
2019/04/01 23:26:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.999986134s)
2019/04/01 23:26:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999992356s)
2019/04/01 23:26:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000065553s)
2019/04/01 23:27:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999943409s)
2019/04/01 23:27:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000203438s)
2019/04/01 23:27:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999803961s)
2019/04/01 23:27:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999996506s)
2019/04/01 23:28:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000053819s)
2019/04/01 23:28:18 CLIENT(192.168.1.189:45630): pinged (last ping 14.99994341s)
2019/04/01 23:28:33 CLIENT(192.168.1.189:45630): pinged (last ping 15.000038062s)
2019/04/01 23:28:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.00010605s)
2019/04/01 23:29:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999890024s)
2019/04/01 23:29:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.000123727s)
2019/04/01 23:29:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.99985313s)
2019/04/01 23:29:48 CLIENT(192.168.1.189:45630): pinged (last ping 14.999991081s)
2019/04/01 23:30:03 CLIENT(192.168.1.189:45630): pinged (last ping 15.000021597s)
2019/04/01 23:30:18 CLIENT(192.168.1.189:45630): pinged (last ping 15.00011912s)
2019/04/01 23:30:33 CLIENT(192.168.1.189:45630): pinged (last ping 14.999845805s)
2019/04/01 23:30:48 CLIENT(192.168.1.189:45630): pinged (last ping 15.000265956s)
2019/04/01 23:31:03 CLIENT(192.168.1.189:45630): pinged (last ping 14.999694399s)
