2019/04/01 23:11:18 nsqd v0.2.16
2019/04/01 23:11:18 worker id 211
2019/04/01 23:11:18 HTTP: listening on [::]:4151
2019/04/01 23:11:18 LOOKUP: adding peer 192.168.1.189:4160
2019/04/01 23:11:18 LOOKUP connecting to 192.168.1.189:4160
2019/04/01 23:11:18 TCP: listening on [::]:4150
2019/04/01 23:11:18 LOOKUPD(192.168.1.189:4160): peer info {TcpPort:4160 HttpPort:4161 Version:0.2.16 Address:osa189}
2019/04/01 23:11:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:11:40 TOPIC(test): created
2019/04/01 23:11:40 LOOKUPD: querying http://osa189:4161/lookup?topic=test
2019/04/01 23:11:40 LOOKUPD(192.168.1.189:4160): topic REGISTER test
2019/04/01 23:11:40 TOPIC(test): new channel(test)
2019/04/01 23:11:40 LOOKUPD(192.168.1.189:4160): channel REGISTER test test
2019/04/01 23:11:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:12:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:12:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:12:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:12:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:13:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:13:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:13:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:13:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:14:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:14:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:14:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:14:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:15:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:15:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:15:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:15:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:16:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:16:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:16:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:16:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:17:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:17:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:17:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
